CBio007-69;maux;biere
42;gastro enterite;La tueuse
28;mal de tete;La tueuse
1;nausees;La tueuse
24;sinusite;La tueuse
44;gastro enterite;La tueuse
23;mal de tete;La tueuse
29;nausees;La tueuse
9;sinusite;La tueuse
36;gastro enterite;La tueuse
34;mal de tete;La tueuse
19;nausees;La tueuse
22;sinusite;La tueuse
13;gastro enterite;La tueuse
42;mal de tete;La tueuse
29;nausees;La tueuse
-2;sinusite;La tueuse
19;gastro enterite;La tueuse
13;mal de tete;La tueuse
18;nausees;La tueuse
15;sinusite;La tueuse
22;gastro enterite;La tueuse
27;mal de tete;La tueuse
22;nausees;La tueuse
12;sinusite;La tueuse
33;gastro enterite;La vaisselle
34;mal de tete;La vaisselle
11;nausees;La vaisselle
27;sinusite;La vaisselle
26;gastro enterite;La vaisselle
33;mal de tete;La vaisselle
9;nausees;La vaisselle
12;sinusite;La vaisselle
33;gastro enterite;La vaisselle
31;mal de tete;La vaisselle
7;nausees;La vaisselle
12;sinusite;La vaisselle
21;gastro enterite;La vaisselle
36;mal de tete;La vaisselle
1;nausees;La vaisselle
-5;sinusite;La vaisselle
29;gastro enterite;La vaisselle
34;mal de tete;La vaisselle
-6;nausees;La vaisselle
16;sinusite;La vaisselle
31;gastro enterite;La vaisselle
38;mal de tete;La vaisselle
5;nausees;La vaisselle
15;sinusite;La vaisselle
31;gastro enterite;Le nectar royal
3;mal de tete;Le nectar royal
21;nausees;Le nectar royal
22;sinusite;Le nectar royal
-3;gastro enterite;Le nectar royal
26;mal de tete;Le nectar royal
1;nausees;Le nectar royal
7;sinusite;Le nectar royal
25;gastro enterite;Le nectar royal
28;mal de tete;Le nectar royal
9;nausees;Le nectar royal
25;sinusite;Le nectar royal
25;gastro enterite;Le nectar royal
32;mal de tete;Le nectar royal
3;nausees;Le nectar royal
5;sinusite;Le nectar royal
24;gastro enterite;Le nectar royal
4;mal de tete;Le nectar royal
12;nausees;Le nectar royal
12;sinusite;Le nectar royal
17;gastro enterite;Le nectar royal
16;mal de tete;Le nectar royal
17;nausees;Le nectar royal
19;sinusite;Le nectar royal
